"","gene","Th1","Th2","Th1_17","Th17","NKT","naive.stim","Treg.mem","Treg.naive","naive"
"486","PTPRJ",4,5,3,4,2,1,2,6,0
"487","SCAI",2,7,2,1,0,0,1,1,0
"488","SCML4",5,5,4,2,4,5,1,4,0
"489","SDCCAG8",1,0,2,3,2,4,3,4,0
"490","TRIO",1,3,1,2,1,0,2,5,0
"491","UBB",3,7,7,5,1,4,1,2,0
"492","AP3B2",1,0,0,0,0,0,0,0,0
"493","ARG2",3,2,5,0,0,1,4,2,0
"494","BLM",2,2,1,1,4,2,7,0,2
"495","CALM2",4,3,2,3,2,4,4,3,0
"496","CD58",6,8,5,2,3,4,2,2,0
"497","CD74",7,1,5,6,5,5,5,3,0
"498","DLG2",4,1,1,4,1,0,5,4,0
"499","DNAJB1",2,1,2,4,1,4,1,1,0
"500","FTH1",5,2,6,3,4,5,7,9,0
"501","HLA-DPB1",4,0,0,3,2,0,3,2,0
"502","HMSD",5,4,4,1,3,0,0,0,0
"503","LPP",7,7,7,5,4,4,7,5,0
"504","MT2A",6,5,2,1,3,2,4,1,0
"505","NAMPT",5,3,3,3,3,2,4,3,0
"506","PIM3",4,6,3,2,2,2,5,1,0
"507","PPP4R4",1,4,2,0,0,0,0,0,0
"508","PTK2",3,7,3,2,3,2,1,5,0
"509","RPS6KA2",3,1,1,3,2,1,5,3,0
"510","RUNDC3B",1,0,0,0,0,0,1,1,0
"511","S100A4",4,4,3,6,4,0,5,6,0
